,open,high,low,close,adjclose,volume,ticker,date,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2017-03-09,851.0,856.4000244140625,850.3099975585938,853.0,853.0,2048200,AMZN,2017-03-09,46.84057,41.189998626708984,0.0,811.810001373291
2017-03-10,857.0,857.3499755859375,851.719970703125,852.4600219726562,852.4600219726562,2436400,AMZN,2017-03-10,138.21162,125.41000366210938,0.0,727.0500183105469
2017-03-13,851.77001953125,855.6900024414062,851.7100219726562,854.5900268554688,854.5900268554688,1909700,AMZN,2017-03-13,202.4432,180.5800018310547,0.0,674.0100250244141
2017-03-14,853.5499877929688,853.75,847.5499877929688,852.530029296875,852.530029296875,2130600,AMZN,2017-03-14,83.016365,81.73000335693361,0.0,770.8000259399414
2017-03-15,854.3300170898438,854.4500122070312,847.1099853515625,852.969970703125,852.969970703125,2562200,AMZN,2017-03-15,135.17491,127.3499984741211,0.0,725.6199722290039
2017-03-16,855.2999877929688,855.5,850.510009765625,853.4199829101562,853.4199829101562,1842300,AMZN,2017-03-16,98.852615,84.44000244140626,0.0,768.97998046875
2017-03-17,853.489990234375,853.8300170898438,850.6400146484375,852.3099975585938,852.3099975585938,3384400,AMZN,2017-03-17,1009.3123,958.0000000000001,105.69000244140636,0.0
2017-03-20,851.510009765625,857.7999877929688,851.010009765625,856.969970703125,856.969970703125,2282700,AMZN,2017-03-20,91.82395,65.81250000000001,0.0,791.157470703125
2017-03-21,858.8400268554688,862.7999877929688,841.3099975585938,843.2000122070312,843.2000122070312,4382900,AMZN,2017-03-21,187.54703,181.66000366210935,0.0,661.5400085449219
2017-03-22,840.4299926757812,849.3699951171875,839.0499877929688,848.0599975585938,848.0599975585938,2658700,AMZN,2017-03-22,1401.5474,1460.1700439453125,612.1100463867188,0.0
2017-03-23,848.2000122070312,850.8900146484375,844.7999877929688,847.3800048828125,847.3800048828125,1953000,AMZN,2017-03-23,60.296604,42.70000076293945,0.0,804.680004119873
2017-03-24,851.6799926757812,851.7999877929688,843.530029296875,845.6099853515625,845.6099853515625,2138300,AMZN,2017-03-24,1061.7264,1126.31005859375,280.7000732421875,0.0
2017-03-27,838.0700073242188,850.2999877929688,833.5,846.8200073242188,846.8200073242188,2755800,AMZN,2017-03-27,101.506386,130.52999877929688,0.0,716.2900085449219
2017-03-28,851.75,858.4600219726562,850.0999755859375,856.0,856.0,3041600,AMZN,2017-03-28,193.23346,184.4499969482422,0.0,671.5500030517578
2017-03-29,859.0499877929688,876.4400024414062,859.02001953125,874.3200073242188,874.3200073242188,4485800,AMZN,2017-03-29,3312.3003,3241.159912109375,2366.8399047851562,0.0
2017-03-30,874.9500122070312,877.0599975585938,871.6599731445312,876.3400268554688,876.3400268554688,2762700,AMZN,2017-03-30,43.49093,36.650001525878906,0.0,839.6900253295898
2017-03-31,877.0,890.3499755859375,876.6500244140625,886.5399780273438,886.5399780273438,3957600,AMZN,2017-03-31,1453.9246,1580.949951171875,694.4099731445312,0.0
2017-04-03,888.0,893.489990234375,885.4199829101562,891.510009765625,891.510009765625,3422300,AMZN,2017-04-03,1712.9515,1699.72998046875,808.219970703125,0.0
2017-04-04,891.5,908.5399780273438,890.280029296875,906.8300170898438,906.8300170898438,4984700,AMZN,2017-04-04,3232.8687,3450.9599609375,2544.1299438476562,0.0
2017-04-05,910.8200073242188,923.719970703125,905.6199951171876,909.280029296875,909.280029296875,7508400,AMZN,2017-04-05,11.297115,4.0208330154418945,0.0,905.2591962814331
2017-04-06,913.7999877929688,917.1900024414062,894.489990234375,898.280029296875,898.280029296875,6344100,AMZN,2017-04-06,765.26263,754.6400146484375,0.0,143.6400146484375
2017-04-07,899.6500244140625,900.0900268554688,889.3099975585938,894.8800048828125,894.8800048828125,3710900,AMZN,2017-04-07,35.14661,28.65999984741211,0.0,866.2200050354004
2017-04-10,899.6300048828125,908.510009765625,899.0,907.0399780273438,907.0399780273438,3184300,AMZN,2017-04-10,527.0585,536.0700073242188,0.0,370.969970703125
2017-04-11,907.0399780273438,911.239990234375,897.5,902.3599853515624,902.3599853515624,3012700,AMZN,2017-04-11,274.8326,260.32000732421875,0.0,642.0399780273436
2017-04-12,903.0900268554688,904.0900268554688,895.25,896.22998046875,896.22998046875,2456100,AMZN,2017-04-12,59.665356,56.562500000000014,0.0,839.66748046875
2017-04-13,891.4500122070312,894.969970703125,884.489990234375,884.6699829101562,884.6699829101562,3174600,AMZN,2017-04-13,80.972755,58.687500000000014,0.0,825.9824829101562
2017-04-17,887.5,902.3800048828124,887.5,901.989990234375,901.989990234375,2854700,AMZN,2017-04-17,1643.2577,1581.4200439453125,679.4300537109375,0.0
2017-04-18,900.989990234375,909.6099853515624,900.780029296875,903.780029296875,903.780029296875,2999200,AMZN,2017-04-18,12.621421,3.8229169845581055,0.0,899.9571123123169
2017-04-19,907.8400268554688,910.5,897.3699951171875,899.2000122070312,899.2000122070312,2870200,AMZN,2017-04-19,41.773003,36.06999969482422,0.0,863.130012512207
2017-04-20,899.7000122070312,905.3200073242188,896.2899780273438,902.0599975585938,902.0599975585938,2814400,AMZN,2017-04-20,42.034935,31.375000000000004,0.0,870.6849975585938
2017-04-21,902.6699829101562,903.6500244140624,896.77001953125,898.530029296875,898.530029296875,2420500,AMZN,2017-04-21,26.345732,17.510000228881836,0.0,881.0200290679932
